Iteracion 1
q, ciclos
2, 18152
Iteracion 2
q, ciclos
2, 19079
Iteracion 3
q, ciclos
2, 44781
Iteracion 4
q, ciclos
2, 44436
Iteracion 5
q, ciclos
2, 19179
Iteracion 6
q, ciclos
2, 44597
Iteracion 7
q, ciclos
2, 44107
Iteracion 8
q, ciclos
2, 19617
Iteracion 9
q, ciclos
2, 18983
Iteracion 10
q, ciclos
2, 19254
Iteracion 1
q, ciclos
4, 1848578
Iteracion 2
q, ciclos
4, 1858801
Iteracion 3
q, ciclos
4, 1850543
Iteracion 4
q, ciclos
4, 1846240
Iteracion 5
q, ciclos
4, 1841524
Iteracion 6
q, ciclos
4, 1865861
Iteracion 7
q, ciclos
4, 1848777
Iteracion 8
q, ciclos
4, 1848544
Iteracion 9
q, ciclos
4, 1839838
Iteracion 10
q, ciclos
4, 1850393
Iteracion 1
q, ciclos
6, 185420974
Iteracion 2
q, ciclos
6, 185314567
Iteracion 3
q, ciclos
6, 185510647
Iteracion 4
q, ciclos
6, 185059524
Iteracion 5
q, ciclos
6, 186118536
Iteracion 6
q, ciclos
6, 185453290
Iteracion 7
q, ciclos
6, 185415926
Iteracion 8
q, ciclos
6, 185286420
Iteracion 9
q, ciclos
6, 186207969
Iteracion 10
q, ciclos
6, 185249715
Iteracion 1
q, ciclos
7, 1861676731
Iteracion 2
q, ciclos
7, 1857287067
Iteracion 3
q, ciclos
7, 1861666205
Iteracion 4
q, ciclos
7, 1857357153
Iteracion 5
q, ciclos
7, 1858955435
Iteracion 6
q, ciclos
7, 1857786265
Iteracion 7
q, ciclos
7, 1859566042
Iteracion 8
q, ciclos
7, 1857051277
Iteracion 9
q, ciclos
7, 1857411941
Iteracion 10
q, ciclos
7, 1858772471
