Iteracion 1
hilos, q, ciclos
4, 2, 7578234
Iteracion 2
hilos, q, ciclos
4, 2, 7304078
Iteracion 3
hilos, q, ciclos
4, 2, 7181828
Iteracion 4
hilos, q, ciclos
4, 2, 7749985
Iteracion 5
hilos, q, ciclos
4, 2, 7199004
Iteracion 6
hilos, q, ciclos
4, 2, 7258654
Iteracion 7
hilos, q, ciclos
4, 2, 7400123
Iteracion 8
hilos, q, ciclos
4, 2, 7490451
Iteracion 9
hilos, q, ciclos
4, 2, 7137038
Iteracion 10
hilos, q, ciclos
4, 2, 8250597
Iteracion 1
hilos, q, ciclos
4, 4, 27465558
Iteracion 2
hilos, q, ciclos
4, 4, 26979380
Iteracion 3
hilos, q, ciclos
4, 4, 23771762
Iteracion 4
hilos, q, ciclos
4, 4, 25836133
Iteracion 5
hilos, q, ciclos
4, 4, 26190933
Iteracion 6
hilos, q, ciclos
4, 4, 23723130
Iteracion 7
hilos, q, ciclos
4, 4, 24350013
Iteracion 8
hilos, q, ciclos
4, 4, 22443486
Iteracion 9
hilos, q, ciclos
4, 4, 22773457
Iteracion 10
hilos, q, ciclos
4, 4, 23086118
Iteracion 1
hilos, q, ciclos
4, 6, 1014899407
Iteracion 2
hilos, q, ciclos
4, 6, 1049900459
Iteracion 3
hilos, q, ciclos
4, 6, 1036374089
Iteracion 4
hilos, q, ciclos
4, 6, 1014744183
Iteracion 5
hilos, q, ciclos
4, 6, 1041875569
Iteracion 6
hilos, q, ciclos
4, 6, 1035441871
Iteracion 7
hilos, q, ciclos
4, 6, 1059678247
Iteracion 8
hilos, q, ciclos
4, 6, 1005178180
Iteracion 9
hilos, q, ciclos
4, 6, 928621067
Iteracion 10
hilos, q, ciclos
4, 6, 1051809588
Iteracion 1
hilos, q, ciclos
4, 7, 9226325836
Iteracion 2
hilos, q, ciclos
4, 7, 8936337534
Iteracion 3
hilos, q, ciclos
4, 7, 9192915248
Iteracion 4
hilos, q, ciclos
4, 7, 9397708075
Iteracion 5
hilos, q, ciclos
4, 7, 9096048846
Iteracion 6
hilos, q, ciclos
4, 7, 9428200469
Iteracion 7
hilos, q, ciclos
4, 7, 9521144233
Iteracion 8
hilos, q, ciclos
4, 7, 8982432551
Iteracion 9
hilos, q, ciclos
4, 7, 9314949389
Iteracion 10
hilos, q, ciclos
4, 7, 9234724985
